,CompanyName,companyNameLinkedin,companyIndustries
972,Cell C,Cell-C,Telecommunications
973,South African Revenue Service (SARS),South-African-Revenue-Service,Internet
974,Barclays Bank,Barclays-Bank,Financial Services
975,Chisa Technologies,Chisa-Technologies,Information Technology & Services
976,Tyro Payments,Tyro-Payments,Financial Services
977,"MINDBODY, Inc.",MINDBODY-Inc.,"Health, Wellness & Fitness"
978,"GlobalData Technology, previously known as Kable Business Intelligence",GlobalData-Technology-previously-known-as-Kable-Business-Intelligence,Information Services
979,eNerds,eNerds,Information Technology & Services
980,Sinclair Recruitment,Sinclair-Recruitment,Human Resources
981,The Feature (Nokia),The-Feature,Management Consulting
982,Phone Scoop,Phone-Scoop,Nan
983,Nextbit Systems,Nextbit-Systems,Information Technology & Services
984,"SSI Technologies, India",SSI-Technologies-India,Security & Investigations
985,"SSI Technologies, UK",SSI-Technologies-UK,Security & Investigations
986,Kaveri Communications Pvt Ltd,Kaveri-Communications-Pvt-Ltd,Nan
987,BPO Channel Pvt Ltd,BPO-Channel-Pvt-Ltd,Outsourcing/Offshoring
988,Tech Mahindra (formerly Mahindra Satyam),Tech-Mahindra,Information Technology & Services
989,Bottega,Bottega,Hospitality
990,CM Tech,CM-Tech,Furniture
991,SHM Interactive,SHM-Interactive,Management Consulting
992,CMD,CMD,Marketing & Advertising
993,"TNG, Inc.",TNG-Inc.,Staffing & Recruiting
994,Creative Circle,Creative-Circle,Staffing & Recruiting
995,Summit Projects,Summit-Projects,Design
996,Nike,Nike,Sporting Goods
997,PMX Agency,PMX-Agency,Marketing & Advertising
998,Medibank,Medibank,Insurance
999,DiUS,DiUS,Nan
1000,USA Self Employed,USA-Self-Employed,Music
1001,Visiting Nurse Association,Visiting-Nurse-Association,"Health, Wellness & Fitness"
1002,Wells Fargo,Wells-Fargo,Higher Education
1003,"Charis Solutions, LLC",Charis-Solutions-LLC,Internet
1004,Intellinet,Intellinet,Information Technology & Services
1005,everis Chile,everis-Chile,Information Technology & Services
1006,CETIUC,CETIUC,Information Technology & Services
1007,Pontificia Universidad Cat??lica de Chile,Pontificia-Universidad-Cat??lica-de-Chile,Nan
1008,Geo Tv Network,Geo-Tv-Network,Broadcast Media
1009,"Channel Tek - premium system integrator for Television, Digital Cinema and Satellite Broadcast.",Channel-Tek---premium-system-integrator-for-Television-Digital-Cinema-and-Satellite-Broadcast.,Internet
1010,Smiley Media,Smiley-Media,Internet
1011,Institute of Business Administration,Institute-of-Business-Administration,Higher Education
1012,BIW Inc.,BIW-Inc.,Non-profit Organization Management
1013,Harris Corporation,Harris-Corporation,Defense & Space
1014,Bangkok Trade Point,Bangkok-Trade-Point,Nan
1015,Infinity IT Success Ltd.,Infinity-IT-Success-Ltd.,Management Consulting
1016,Agoda,Agoda,Internet
1017,AIV Thailand,AIV-Thailand,Computer Games
1018,Thomson Reuters,Thomson-Reuters,Information Technology & Services
1019,NEP Australia Pty Ltd,NEP-Australia-Pty-Ltd,Entertainment
1020,AGC Advisory,AGC-Advisory,Accounting
1021,Brennan IT,Brennan-IT,Architecture & Planning
1022,BBC Promotions,BBC-Promotions,Broadcast Media
1023,BBC,BBC,Broadcast Media
1024,BBC Creative Services,BBC-Creative-Services,Broadcast Media
1025,BBC Interactive TV,BBC-Interactive-TV,Broadcast Media
1026,BBC Childrens Interactive TV,BBC-Childrens-Interactive-TV,Broadcast Media
1027,BBC Interactive Drama and Entertainment,BBC-Interactive-Drama-and-Entertainment,Broadcast Media
1028,BBC Multiplatform Studio,BBC-Multiplatform-Studio,Broadcast Media
1029,BBC Multiplatform Entertainment,BBC-Multiplatform-Entertainment,Broadcast Media
1030,Round Table Games Studio,Round-Table-Games-Studio,Nan
1031,Frankfurt Marriott Hotel,Frankfurt-Marriott-Hotel,Hospitality
1032,Marriott International,Marriott-International,Hospitality
1033,Performance Solutions,Performance-Solutions,Professional Training & Coaching
1034,Department of Employment and Workplace Relations (DEWR),Department-of-Employment-and-Workplace-Relations,Motion Pictures & Film
1035,Unique World Software,Unique-World-Software,Human Resources
1036,Unique World,Unique-World,Human Resources
1037,TBG Digital,TBG-Digital,Marketing & Advertising
1038,Prism Entertainment,Prism-Entertainment,Graphic Design
1039,Switch Concepts,Switch-Concepts,Information Technology & Services
1040,Telesul,Telesul,Telecommunications
1041,Kantar IBOPE Media,Kantar-IBOPE-Media,Market Research
1042,Terlizzi,Terlizzi,Restaurants
1043,Bank BPH/PBK,Bank-BPH/PBK,Nan
1044,Jubilant Pharmaceuticals,Jubilant-Pharmaceuticals,Pharmaceuticals
1045,Newgen Software,Newgen-Software,Information Technology & Services
1046,SeeYourImpact Technologies,SeeYourImpact-Technologies,Nan
1047,Blizzard Entertainment,Blizzard-Entertainment,Entertainment
1048,NewSky Security Inc,NewSky-Security-Inc,Information Technology & Services
1049,iHorizons,iHorizons,Information Technology & Services
1050,SIRCA Ltd,SIRCA-Ltd,Research
1051,Stanford University,Stanford-University,Higher Education
1052,MemCachier,MemCachier,Information Technology & Services
1053,XSeed Capital,XSeed-Capital,Venture Capital & Private Equity
1054,"MSN Communications, a TDS Company",MSN-Communications-a-TDS-Company,Nan
1055,Dish Network,Dish-Network,Telecommunications
1056,IntelliGauge Inc.,IntelliGauge-Inc.,Information Technology & Services
1057,CForceDrive,CForceDrive,Nan
1058,Bonasource,Bonasource,Computer Software
1059,Manzana Group,Manzana-Group,Information Technology & Services
1060,TNK BP,TNK-BP,Nan
1061,Technosoft SEA Pte.Ltd,Technosoft-SEA-Pte.Ltd,Automotive
1062,incadea - A Cox Automotive Brand,incadea---A-Cox-Automotive-Brand,Information Technology & Services
1063,THE TRITON REVIEW NEWSPAPER,THE-TRITON-REVIEW-NEWSPAPER,Management Consulting
1064,CHANEL,CHANEL,Luxury Goods & Jewelry
1065,The University of Akron,The-University-of-Akron,Higher Education
1066,Larsen & Toubro Infotech Ltd,Larsen-&-Toubro-Infotech-Ltd,Graphic Design
1067,Kodiak,Kodiak,Telecommunications
1068,Optus,Optus,Telecommunications
1069,Hutchison Telecoms,Hutchison-Telecoms,Telecommunications
1070,oOh!,oOh!,Nan
1071,SyncSoft,SyncSoft,Computer Software
1072,AGL Energy,AGL-Energy,Utilities
1073,Sun Microsystems Australia,Sun-Microsystems-Australia,Market Research
1074,Cisco,Cisco,Computer Networking
1075,ASG Group,ASG-Group,Computer Software
1076,"Stonehand, Inc.",Stonehand-Inc.,Nan
1077,"Spyglass, Inc.",Spyglass-Inc.,Nan
1078,Metaplates,Metaplates,Nan
1079,Barnes & Noble,Barnes-&-Noble,Retail
1080,Nintendo,Nintendo,Computer Games
1081,"Ameriprise Financial Services, Inc.",Ameriprise-Financial-Services-Inc.,Nan
1082,Volt,Volt,Staffing & Recruiting
1083,Procurestaff,Procurestaff,Nan
1084,Vungle,Vungle,Marketing & Advertising
1085,Myself Only; Self-Employed,Myself-Only;-Self-Employed,Nan
1086,Prestige-auto,Prestige-auto,Automotive
1087,Rubicon,Rubicon,Information Technology & Services
1088,Thirty Three,Thirty-Three,Design
1089,Advertising Energy,Advertising-Energy,Marketing & Advertising
1090,Havas,Havas,Marketing & Advertising
1091,Elastic Brands,Elastic-Brands,Marketing & Advertising
1092,PeopleScout Asia Pacific,PeopleScout-Asia-Pacific,Staffing & Recruiting
1093,Talent2,Talent2,Staffing & Recruiting
1094,Multimap,Multimap,Internet
1095,eSpace,eSpace,Information Technology & Services
1096,Showpad,Showpad,Computer Software
1097,Postmates,Postmates,Internet
1098,Pomona - France,Pomona---France,Wholesale
1099,Hector Larivee - Canada,Hector-Larivee---Canada,E-learning
1100,Oberthur Gaming Technologies - Canada,Oberthur-Gaming-Technologies---Canada,Management Consulting
1101,Crocodile Delights,Crocodile-Delights,Information Technology & Services
1102,WRQ,WRQ,Nan
1103,Infospace,Infospace,Internet
1104,Vulcan Inc.,Vulcan-Inc.,Executive Office
1105,Motricity,Motricity,Wireless
1106,Bonaventure Senior Living,Bonaventure-Senior-Living,Hospital & Health Care
1107,Washington Health Alliance,Washington-Health-Alliance,Hospital & Health Care
1108,African Bottling Operations PEPSI International,African-Bottling-Operations-PEPSI-International,Nan
1109,Libyan Qatari Bank ( LQB ),Libyan-Qatari-Bank,Nan
1110,EDS UK,EDS-UK,Nan
1111,Vodafone Ireland,Vodafone-Ireland,Telecommunications
1112,Micrsoft Ireland,Micrsoft-Ireland,Nan
1113,Clara Consultants Ltd,Clara-Consultants-Ltd,Marketing & Advertising
1114,Clear 2 Pay,Clear-2-Pay,Environmental Services
1115,Revolution IT,Revolution-IT,Information Technology & Services
1116,Sydney Water,Sydney-Water,Utilities
1117,Travelex,Travelex,Financial Services
1118,Aimia Inc,Aimia-Inc,Marketing & Advertising
1119,Revolution IT Ltd,Revolution-IT-Ltd,Information Technology & Services
1120,Serco Group plc,Serco-Group-plc,Information Technology & Services
1121,Jaguar Land Rover,Jaguar-Land-Rover,Automotive
1122,Serco,Serco,Information Technology & Services
1123,Wealth Wizards,Wealth-Wizards,Nan
1124,Delta Finance,Delta-Finance,Management Consulting
1125,Secure Trust Bank PLC,Secure-Trust-Bank-PLC,Nan
1126,Equity Release,Equity-Release,Nan
1127,Intercom Ltda,Intercom-Ltda,Internet
1128,Software Development Consultant,Software-Development-Consultant,Nan
1129,Contractor,Contractor,Marketing & Advertising
1130,Kiwibank,Kiwibank,Banking
1131,Orange,Orange,Telecommunications
1132,Criteo,Criteo,Internet
1133,Les Bretelles de Leon,Les-Bretelles-de-Leon,Apparel & Fashion
1134,Calsoft,Calsoft,Computer Software
1135,Citrix,Citrix,Computer Software
1136,Swire Pacific Offshore,Swire-Pacific-Offshore,Maritime
1137,Swire Shipping,Swire-Shipping,Maritime
1138,BPAY,BPAY,Nan
1139,Quixey,Quixey,Internet
1140,"California State University, Chico",California-State-University-Chico,Higher Education
1141,K5_Ventures,K5_Ventures,Nan
1142,Soul id Inc.,Soul-id-Inc.,Telecommunications
1143,BP,BP,Oil & Energy
1144,Uniting Healthcare - St Andrews War Memorial Hospital,Uniting-Healthcare---St-Andrews-War-Memorial-Hospital,Nan
1145,Directions Technology,Directions-Technology,Information Technology & Services
1146,Ray White Retail,Ray-White-Retail,Consumer Electronics
1147,Swirl Sniff Spit,Swirl-Sniff-Spit,Marketing & Advertising
1148,Fairfax Media,Fairfax-Media,Online Media
1149,Inkwell Wines,Inkwell-Wines,Music
1150,Cru Bar & Cellar,Cru-Bar-&-Cellar,Mining & Metals
1151,Domaine Chandon Australia,Domaine-Chandon-Australia,Wine & Spirits
1152,Pipers Brook Vineyard ,Pipers-Brook-Vineyard-,Law Practice
1153,Heart & Soil Wines,Heart-&-Soil-Wines,Food & Beverages
1154,Insight,Insight,Information Technology & Services
1155,MRI Software,MRI-Software,Defense & Space
1156,ABC Technologies,ABC-Technologies,Computer Software
1157,Silversands,Silversands,Information Technology & Services
1158,Periphonics Corporation,Periphonics-Corporation,Telecommunications
1159,Halo America L.L.C.,Halo-America-L.L.C.,Real Estate
1160,ICFAI Business School,ICFAI-Business-School,Education Management
1161,Iprocess,Iprocess,Research
1162,Cymbal Corporation,Cymbal-Corporation,Information Technology & Services
1163,Webhelp Global Services,Webhelp-Global-Services,Outsourcing/Offshoring
1164,Transworks,Transworks,Information Technology & Services
1165,Texas Dept. of Human Services,Texas-Dept.-of-Human-Services,Nan
1166,Cycorp,Cycorp,Computer Software
1167,Parse,Parse,Computer Software
1168,TDC,TDC,Nan
1169,CommWyse,CommWyse,Telecommunications
1170,SITA WorkBridge,SITA-WorkBridge,Information Technology & Services
1171,Nordisk Copyright Bureau,Nordisk-Copyright-Bureau,Sporting Goods
1172,Network of Music Partners A/S,Network-of-Music-Partners-A/S,Information Technology & Services
1173,Institut Sukan Negara Malaysia,Institut-Sukan-Negara-Malaysia,Sports
1174,Prudenz Consulting,Prudenz-Consulting,Management Consulting
1175,Monarch Recruitment Ltd,Monarch-Recruitment-Ltd,Staffing & Recruiting
1176,Sigmar Recruitment,Sigmar-Recruitment,Staffing & Recruiting
1177,Sherry FitzGerald,Sherry-FitzGerald,Real Estate
1178,Home Instead Senior Care,Home-Instead-Senior-Care,Individual & Family Services
1179,"Tsunami Technology, Inc.",Tsunami-Technology-Inc.,Nan
1180,EDS Australia Pty Ltd.,EDS-Australia-Pty-Ltd.,Nan
1181,OBS,OBS,Information Technology & Services
1182,Empired Ltd,Empired-Ltd,Information Technology & Services
1183,United Nations,United-Nations,International Affairs
1184,"NSNL, Inc.",NSNL-Inc.,Nan
1185,SIIA (Software & Information Industry Association),SIIA,Information Technology & Services
1186,J.P. Morgan,J.P.-Morgan,Nan
1187,BlackRock,BlackRock,Financial Services
1188,Dorm Room Fund,Dorm-Room-Fund,Venture Capital & Private Equity
1189,"LSR Consulting Solutions, LLC",LSR-Consulting-Solutions-LLC,Nan
1190,Deluxe Entertainment Services Group,Deluxe-Entertainment-Services-Group,Financial Services
1191,Garuda Force,Garuda-Force,Computer Games
1192,Tampere University of Technology,Tampere-University-of-Technology,Higher Education
1193,Image Quest,Image-Quest,Graphic Design
1194,Human Dynamics,Human-Dynamics,E-learning
1195,E.L. Bailer,E.L.-Bailer,Nan
1196,The University of Kansas,The-University-of-Kansas,Management Consulting
1197,Barkley,Barkley,Marketing & Advertising
1198,Duke University,Duke-University,Higher Education
1199,YearMovie,YearMovie,Computer Software
1200,Method Engine,Method-Engine,Internet
1201,TEAGUE,TEAGUE,Design
1202,Bluestreak Technology,Bluestreak-Technology,Broadcast Media
1203,Eidos-Montr??al,Eidos-Montr??al,Marketing & Advertising
1204,Cornerstone OnDemand,Cornerstone-OnDemand,Computer Software
1205,STMicroelectronics,STMicroelectronics,Semiconductors
1206,Robert Bosch Engineering and Business Solutions Ltd.,Robert-Bosch-Engineering-and-Business-Solutions-Ltd.,Nan
1207,Cornell University,Cornell-University,Higher Education
1208,University of Michigan,University-of-Michigan,Higher Education
1209,"North American Lighting, Inc.",North-American-Lighting-Inc.,Marketing & Advertising
1210,Federal Signal Corporation,Federal-Signal-Corporation,Machinery
1211,Radiant Vision Systems,Radiant-Vision-Systems,Electrical & Electronic Manufacturing
1212,"Orb Optronix, Inc.",Orb-Optronix-Inc.,Electrical & Electronic Manufacturing
1213,Micron Technology,Micron-Technology,Semiconductors
1214,Nokia / Global sourcing,Nokia-/-Global-sourcing,Telecommunications
1215,Recruit Express Pte Ltd,Recruit-Express-Pte-Ltd,Information Services
1216,STOMP (Student Teacher Outreach Mentorship Program),STOMP,Entertainment
1217,MITRE,MITRE,Information Technology & Services
1218,WhichBus,WhichBus,Nan
1219,MovingWorlds,MovingWorlds,Civic & Social Organization
1220,N' Propret?? Environnement Industrielle,N'-Propret??-Environnement-Industrielle,Nan
1221,Nell & Associ??s,Nell-&-Associ??s,Nan
1222,Ricoh Australia,Ricoh-Australia,Information Technology & Services
1223,Ex - Ricoh,Ex---Ricoh,Nan
1224,Skupina Atlantis,Skupina-Atlantis,Nan
1225,Plivo,Plivo,Nan
1226,Melbourne Business School,Melbourne-Business-School,Higher Education
1227,Midas Engineering Group,Midas-Engineering-Group,Luxury Goods & Jewelry
1228,Equilibrium - Digital Agency,Equilibrium---Digital-Agency,Individual & Family Services
1229,Team Visible,Team-Visible,Nan
1230,Microsoft Research,Microsoft-Research,Computer Software
1231,Directi,Directi,Internet
1232,Mobile Messenger,Mobile-Messenger,Telecommunications
1233,ANZ,ANZ,Banking
1234,Lab49,Lab49,Computer Software
1235,Flex,Flex,Human Resources
1236,Surreal Software,Surreal-Software,Computer Games
1237,Midway Games,Midway-Games,Computer Games
1238,Sublime Edge Pragmatic Solutions Pvt Ltd (SEPSPL),Sublime-Edge-Pragmatic-Solutions-Pvt-Ltd,Information Technology & Services
1239,Thomson Local,Thomson-Local,Real Estate
1240,Sensis,Sensis,Marketing & Advertising
1241,Xero,Xero,Computer Software
1242,Telstra,Telstra,Telecommunications
1243,iStreamPlanet,iStreamPlanet,Nan
1244,Qisda corporation,Qisda-corporation,Electrical & Electronic Manufacturing
1245,50 Percent Grey,50-Percent-Grey,Design
1246,BelloMano Premium Soaps and Gifts.,BelloMano-Premium-Soaps-and-Gifts.,Nan
1247,Cingular,Cingular,Telecommunications
1248,drugstore.com,drugstore.com,Retail
1249,Beauty.com,Beauty.com,Nan
1250,"Caradigm, a GE Healthcare company",Caradigm-a-GE-Healthcare-company,Information Technology & Services
1251,Flint Marketing Services,Flint-Marketing-Services,Nan
1252,360,360,Nan
1253,McGregors International,McGregors-International,Public Relations & Communications
1254,Edelman,Edelman,Marketing & Advertising
1255,Porter Novelli,Porter-Novelli,Public Relations & Communications
1256,CBS Interactive,CBS-Interactive,Online Media
1257,Leading Brands and Communications Agencies,Leading-Brands-and-Communications-Agencies,"Leisure, Travel & Tourism"
1258,Foxtel,Foxtel,Broadcast Media
1259,Digivizer,Digivizer,Information Technology & Services
1260,Sitecore,Sitecore,Computer Software
1261,Tripsoz,Tripsoz,Nan
1262,RB,RB,Government Administration
1263,The World Bank,The-World-Bank,International Trade & Development
1264,Booz Allen Hamilton,Booz-Allen-Hamilton,Management Consulting
1265,"Mattel, Inc.",Mattel-Inc.,Consumer Goods
1266,KPN,KPN,Telecommunications
1267,Nord Data,Nord-Data,Nan
1268,Saudi Aramco,Saudi-Aramco,Oil & Energy
1269,Trident Technology Applications,Trident-Technology-Applications,Packaging & Containers
1270,Entertainment Technology Center,Entertainment-Technology-Center,Higher Education
1271,PlayNext; Gameflip; EsportsPlus.me,PlayNext;-Gameflip;-EsportsPlus.me,Nan
1272,AVANADE ASIA PTE LTD,AVANADE-ASIA-PTE-LTD,Information Technology & Services
1273,Sybase,Sybase,Computer Software
1274,"Kony, Inc.",Kony-Inc.,Nan
1275,Protegic,Protegic,Information Technology & Services
1276,Proactiv Payroll,Proactiv-Payroll,Human Resources
1277,L3 Technologies,L3-Technologies,Nan
1278,"NCI, Inc.",NCI-Inc.,Publishing
1279,Virtusa,Virtusa,Information Technology & Services
1280,Wyndgate Technologies,Wyndgate-Technologies,Medical Device
1281,Cerner Corporation,Cerner-Corporation,Information Technology & Services
1282,iSOFT,iSOFT,Computer Software
1283,Telstra Health,Telstra-Health,Telecommunications
1284,Anspire Agency??,Anspire-Agency??,Information Technology & Services
1285,Nielsen,Nielsen,Information Technology & Services
1286,IFUA Horv?­th & Partners Management Consultants,IFUA-Horv?­th-&-Partners-Management-Consultants,Nan
1287,Atena Consultores / Motorola,Atena-Consultores-/-Motorola,Computer Software
1288,seleRED,seleRED,Program Development
1289,Sermicro,Sermicro,Information Technology & Services
1290,Alba Technology,Alba-Technology,Computer Software
1291,Randstad Espa?ña,Randstad-Espa?ña,Human Resources
1292,EDGE3 Technologies,EDGE3-Technologies,Nan
1293,NETSCOUT,NETSCOUT,Computer Networking
1294,PointStar Pte Ltd,PointStar-Pte-Ltd,Nan
1295,PT. Ebiz Cipta Solusi,PT.-Ebiz-Cipta-Solusi,Information Technology & Services
1296,Panzura,Panzura,Computer Software
1297,"Spinweb Productions, Inc.",Spinweb-Productions-Inc.,Information Technology & Services
1298,Asia Pacific College Rams Alumni Association,Asia-Pacific-College-Rams-Alumni-Association,Nan
1299,Rocket Concepts,Rocket-Concepts,Human Resources
1300,Lendsoft Solutions Inc.,Lendsoft-Solutions-Inc.,Nan
1301,Asia Pacific College,Asia-Pacific-College,Higher Education
1302,AffinityX,AffinityX,Graphic Design
1303,Magnet Interactive,Magnet-Interactive,Internet
1304,AKQA/Magnet,AKQA/Magnet,Nan
1305,FASA Interactive / VGL Labs,FASA-Interactive-/-VGL-Labs,Higher Education
1306,Rapid Prototyper / Senior Software Designer,Rapid-Prototyper-/-Senior-Software-Designer,Nan
1307,BTC,BTC,Telecommunications
1308,Ajilon,Ajilon,Staffing & Recruiting
1309,Aon,Aon,Financial Services
1310,Ericsson Nikola Tesla,Ericsson-Nikola-Tesla,Information Technology & Services
1311,VVG & Microsoft,VVG-&-Microsoft,Investment Management
1312,Mercury Processing Services International,Mercury-Processing-Services-International,Financial Services
1313,BoatBooker,BoatBooker,Nan
1314,StreetKet,StreetKet,Nan
1315,I.P.T. d.o.o.,I.P.T.-d.o.o.,Nan
1316,Mobendo,Mobendo,Nan
1317,Mogy,Mogy,"Health, Wellness & Fitness"
1318,Raya Software,Raya-Software,Computer Software
1319,Micka Studios,Micka-Studios,Computer Games
1320,LucasArts,LucasArts,Nan
1321,DigiPen Institute of Technology,DigiPen-Institute-of-Technology,Higher Education
1322,Fun Bits Interactive,Fun-Bits-Interactive,Computer Games
1323,myKB.com,myKB.com,Nan
1324,EventDay,EventDay,Computer Software
1325,Dekker Sport Party en Congrescentrum Zoetermeer,Dekker-Sport-Party-en-Congrescentrum-Zoetermeer,Nan
1326,Capgemini Consulting,Capgemini-Consulting,Information Technology & Services
1327,SHV Holdings N.V.,SHV-Holdings-N.V.,Financial Services
1328,AMD,AMD,Semiconductors
1329,Gilbarco Veeder-Root,Gilbarco-Veeder-Root,Oil & Energy
1330,University of Southern Denmark,University-of-Southern-Denmark,Higher Education
1331,Baan,Baan,Computer Software
1332,Mondosoft,Mondosoft,Computer Software
1333,Barclays Investment Bank,Barclays-Investment-Bank,Financial Services
1334,Boston University,Boston-University,Higher Education
1335,Siemens Healthineers,Siemens-Healthineers,Hospital & Health Care
1336,ReplayTV,ReplayTV,Consumer Electronics
1337,"LSI, an Avago Technologies Company",LSI-an-Avago-Technologies-Company,Printing
1338,Netflix,Netflix,Entertainment
1339,Voicebox Technologies Corporation,Voicebox-Technologies-Corporation,Music
1340,IKEA Group,IKEA-Group,Retail
1341,Ciklum,Ciklum,Information Technology & Services
1342,"University of California, Berkeley",University-of-California-Berkeley,Nan
1343,SolarCity,SolarCity,Renewables & Environment
1344,Tesla,Tesla,Electrical & Electronic Manufacturing
1345,WebMD,WebMD,Internet
1346,Disney Corporation,Disney-Corporation,Nan
1347,aQuantive,aQuantive,Marketing & Advertising
1348,Bruno Appliance Corporation,Bruno-Appliance-Corporation,Electrical & Electronic Manufacturing
1349,Computerland,Computerland,Information Technology & Services
1350,Ocean County Vocational Technical School,Ocean-County-Vocational-Technical-School,Information Technology & Services
1351,Microsoft Advanced Analytics,Microsoft-Advanced-Analytics,Computer Software
1352,Velatrio,Velatrio,Nan
1353,Bridge Partners Consulting,Bridge-Partners-Consulting,Management Consulting
1354,Education Nationale,Education-Nationale,Public Policy
1355,Centre National d'??tudes Spatiales,Centre-National-d'??tudes-Spatiales,Nan
1356,ESTACA,ESTACA,Aviation & Aerospace
1357,Capital Group | American Funds,Capital-Group-|-American-Funds,Market Research
1358,NODS SARL,NODS-SARL,Information Technology & Services
1359,Integration,Integration,Nan
1360,Accent,Accent,Semiconductors
1361,ALTEA SpA,ALTEA-SpA,Computer Software
1362,UBP - Union Bancaire Priv??e,UBP---Union-Bancaire-Priv??e,Banking
1363,HSBC Private Banking,HSBC-Private-Banking,Financial Services
1364,Pictet Group,Pictet-Group,Banking
1365,Gottex Fund Management,Gottex-Fund-Management,Nan
1366,S3 - Swiss Space Systems,S3---Swiss-Space-Systems,Aviation & Aerospace
1367,SYZ Group,SYZ-Group,Financial Services
1368,Galeries Lafayette,Galeries-Lafayette,Retail
1369,Association Le Viking,Association-Le-Viking,Nan
1370,Bureau des Sports de Rouen Business School,Bureau-des-Sports-de-Rouen-Business-School,Management Consulting
1371,L'Escabeau French Kitchen,L'Escabeau-French-Kitchen,Civic & Social Organization
1372,Parfums Christian Dior,Parfums-Christian-Dior,Cosmetics
1373,Sarenza,Sarenza,Retail
1374,TVB.COM Limited,TVB.COM-Limited,Online Media
1375,Hewlett Packard (Canada) Co.,Hewlett-Packard,Nan
1376,Hewlett Packard (Compaq Canada Inc.),Hewlett-Packard,Nan
1377,Acrodex,Acrodex,Information Technology & Services
1378,Speakeasy,Speakeasy,Telecommunications
1379,Israel Electric Company,Israel-Electric-Company,Electrical & Electronic Manufacturing
1380,MalamTeam,MalamTeam,Nan
1381,University of Tehran ACM Student Chapter,University-of-Tehran-ACM-Student-Chapter,Nan
1382,Institute for Research in Fundamental Sciences (IPM),Institute-for-Research-in-Fundamental-Sciences,Nan
1383,Summer of Code,Summer-of-Code,Computer Software
1384,Fondazione Bruno Kessler - FBK,Fondazione-Bruno-Kessler---FBK,Nan
1385,MIT Lincoln Laboratory,MIT-Lincoln-Laboratory,Defense & Space
1386,"Department of Computer Science, The University of Texas at Austin",Department-of-Computer-Science-The-University-of-Texas-at-Austin,Higher Education
1387,NIIT Limited,NIIT-Limited,Education Management
1388,"Termination Site , Inc. ",Termination-Site--Inc.-,Nan
1389,Clearswift,Clearswift,Computer & Network Security
1390,Micro Focus,Micro-Focus,Computer Software
1391,National Australia Bank,National-Australia-Bank,Banking
1392,Modapt,Modapt,Information Technology & Services
1393,Javascript Application Consultants,Javascript-Application-Consultants,Nan
1394,InfoTech Group,InfoTech-Group,Information Technology & Services
1395,Philips,Philips,Hospital & Health Care
1396,Amcom,Amcom,Information Technology & Services
1397,Michael Page,Michael-Page,Staffing & Recruiting
1398,SRI International,SRI-International,Research
1399,Mozilla,Mozilla,Computer Software
1400,Bessemer Venture Partners,Bessemer-Venture-Partners,Venture Capital & Private Equity
1401,ACADINE Technologies,ACADINE-Technologies,Computer Software
1402,"Proximities, Inc.",Proximities-Inc.,Computer Software
1403,George Mason University,George-Mason-University,Higher Education
1404,Berkeley Lab,Berkeley-Lab,Animation
1405,Misr American College,Misr-American-College,Research
1406,GHD,GHD,Civil Engineering
1407,Etisalat Misr,Etisalat-Misr,Telecommunications
1408,King Saud University,King-Saud-University,Higher Education
1409,First Advantage,First-Advantage,Human Resources
1410,Greentongue Software,Greentongue-Software,Computer Software
1411,PayPal,PayPal,Internet
1412,XOMNI,XOMNI,Computer Software
1413,Waseel ASP Ltd.,Waseel-ASP-Ltd.,Information Technology & Services
1414,Zain KSA,Zain-KSA,Telecommunications
1415,Wireless Advocates,Wireless-Advocates,Wireless
1416,Rainmaker,Rainmaker,Information Technology & Services
1417,"Telogis, A Verizon Company",Telogis-A-Verizon-Company,Computer Software
1418,TeamNetcom LTD,TeamNetcom-LTD,Nan
1419,MIPS by Imagination Technologies,MIPS-by-Imagination-Technologies,Information Technology & Services
1420,The University of British Columbia,The-University-of-British-Columbia,Higher Education
1421,Coho Data,Coho-Data,Computer Software
1422,Universidade Federal de Minas Gerais,Universidade-Federal-de-Minas-Gerais,Nan
1423,Radix Engenharia e Software,Radix-Engenharia-e-Software,Information Technology & Services
1424,University of Wisconsin-Madison,University-of-Wisconsin-Madison,Higher Education
1425,IBM Global Services,IBM-Global-Services,Information Technology & Services
1426,Coca-Cola FEMSA,Coca-Cola-FEMSA,Food & Beverages
1427,Williams Commerce Technology PVT. LTD,Williams-Commerce-Technology-PVT.-LTD,Machinery
1428,WordStorm PR,WordStorm-PR,Public Relations & Communications
1429,ProForce,ProForce,Staffing & Recruiting
1430,Precio,Precio,Information Technology & Services
1431,Pro4u,Pro4u,Information Technology & Services
1432,Nest,Nest,Information Technology & Services
1433,Deloitte Consulting,Deloitte-Consulting,Management Consulting
1434,Ralph Lauren,Ralph-Lauren,Apparel & Fashion
1435,Motorola Mobility (a Lenovo Company),Motorola-Mobility,Consumer Electronics
1436,Linkmedia,Linkmedia,Internet
1437,17.Media,17.Media,Nan
1438,Marand d.o.o.,Marand-d.o.o.,Computer Software
1439,Nova KBM d.d.,Nova-KBM-d.d.,Human Resources
1440,Mediamix d.o.o.,Mediamix-d.o.o.,Marketing & Advertising
1441,Comtron d.o.o.,Comtron-d.o.o.,Nan
1442,Avtenta d.o.o.,Avtenta-d.o.o.,Information Technology & Services
1443,NHS,NHS,Hospital & Health Care
1444,University of Strathclyde,University-of-Strathclyde,Higher Education
1445,Bumrungrad International Hospital,Bumrungrad-International-Hospital,Nan
